PMID	date	journal	Country	mesh
9264478	1997	Circulation	UNITED STATES	Adult|Aged|Angina, Unstable|Angioplasty, Balloon, Coronary|Coronary Artery Bypass|Female|Follow-Up Studies|Humans|Male|Middle Aged|Myocardial Infarction|Myocardial Ischemia|Recurrence|Survival Analysis|Thrombolytic Therapy
9311477	1997	The European journal of surgery = Acta chirurgica	NORWAY	Aged|Antimetabolites, Antineoplastic|Blood Transfusion|Chemotherapy, Adjuvant|Colonic Neoplasms|Disease-Free Survival|Female|Fluorouracil|Humans|Infusions, Intravenous|Male|Multivariate Analysis|Portal Vein|Prognosis|Rectal Neoplasms|Survival Analysis
9359979	1997	Biological psychiatry	UNITED STATES	Aged|Antidepressive Agents|Antidepressive Agents, Tricyclic|Benzamides|Depressive Disorder|Dexamethasone|Double-Blind Method|Humans|Hydrocortisone|Moclobemide|Nortriptyline|Severity of Illness Index
9405909	1997	Diabetes care	UNITED STATES	Adult|Blood Glucose|Circadian Rhythm|Cross-Over Studies|Diabetes Mellitus, Type 1|Double-Blind Method|Drug Combinations|Female|Glucose Clamp Technique|Humans|Hypoglycemic Agents|Injections, Subcutaneous|Insulin|Insulin Lispro|Insulin, Isophane|Kinetics|Male|Middle Aged|Protamines
9496205	1997	British journal of anaesthesia	ENGLAND	Adolescent|Adult|Anesthesia, Intravenous|Anesthetics, Combined|Anesthetics, Intravenous|Double-Blind Method|Female|Fentanyl|Half-Life|Humans|Male|Midazolam|Orthopedic Procedures
9349964	1998	International orthopaedics	GERMANY	Adult|Aged|Aged, 80 and over|Anticoagulants|Combined Modality Therapy|Enoxaparin|Female|Femoral Neck Fractures|Gravity Suits|Humans|Male|Middle Aged|Pilot Projects|Postoperative Care|Postoperative Complications|Pulmonary Embolism|Thrombophlebitis|Treatment Outcome
9494422	1998	World journal of surgery	UNITED STATES	Aged|Carcinoma, Non-Small-Cell Lung|Female|Humans|Lung Neoplasms|Lymph Node Excision|Male|Middle Aged|Prospective Studies|Survival Rate
9544371	1998	Archives of gynecology and obstetrics	GERMANY	Adolescent|Adult|Anesthesia, General|Anesthesia, Local|Cervical Intraepithelial Neoplasia|Cervix Uteri|Conization|Female|Humans|Laser Therapy|Middle Aged
9588607	1998	Medicine and science in sports and exercise	UNITED STATES	Adult|Beverages|Bicycling|Blood Glucose|Carbohydrates|Cytokines|Double-Blind Method|Female|Humans|Hydrocortisone|Male|Middle Aged|Physical Endurance|Running
9632325	1998	Journal of cardiopulmonary rehabilitation	UNITED STATES	Aged|Aged, 80 and over|Cross-Over Studies|Exercise Test|Exercise Tolerance|Humans|Lung Diseases, Obstructive|Middle Aged|Music|Pilot Projects
9674809	1998	Neurology	UNITED STATES	Adult|Anti-Inflammatory Agents|Female|Humans|Injections, Intravenous|Male|Methylprednisolone|Middle Aged|Multiple Sclerosis|Survival Analysis|Treatment Failure
9713464	1998	Anticancer research	GREECE	Adult|Aged|Antiemetics|Cisplatin|Cross-Over Studies|Dexamethasone|Female|Granisetron|Humans|Injections, Intravenous|Male|Middle Aged|Nausea|Serotonin Antagonists|Treatment Outcome|Vomiting
9757152	1998	Clinical pharmacology and therapeutics	UNITED STATES	Adult|Anticonvulsants|Area Under Curve|Beverages|Carbamazepine|Citrus|Cross-Over Studies|Drug Administration Schedule|Epilepsy|Female|Food-Drug Interactions|Humans|Male|Middle Aged|Time Factors|Water
9799756	1998	Clinical chemistry	UNITED STATES	Aged|Biological Markers|Bone Density|Bone Resorption|Collagen|Collagen Type I|Diphosphonates|Enzyme-Linked Immunosorbent Assay|Estrogen Replacement Therapy|Female|Humans|Middle Aged|Norpregnenes|Osteoporosis, Postmenopausal|Peptides|Sensitivity and Specificity
9844098	1998	Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research	UNITED STATES	Age Determination by Skeleton|Bone Density|Bone Development|Child|Estradiol|Exercise|Follicle Stimulating Hormone|Humans|Luteinizing Hormone|Male|Prospective Studies|Puberty|Socioeconomic Factors|Testosterone|Weight-Bearing
9924396	1998	The British journal of ophthalmology	ENGLAND	Adult|Corneal Injuries|Humans|Prospective Studies|Recurrence|Treatment Outcome
10087861	1999	Memory & cognition	UNITED STATES	Attention|Humans|Mental Recall|Pattern Recognition, Visual|Problem Solving|Psychophysics|Reaction Time|Reading|Retention (Psychology)
10212716	1999	Anaesthesia and intensive care	AUSTRALIA	Aged|Anesthetics, Local|Bupivacaine|Cataract Extraction|Double-Blind Method|Female|Humans|Hyaluronoglucosaminidase|Lidocaine|Male|Neuromuscular Blockade|Time Factors
10337210	1999	La Revue du praticien	FRANCE	Abdominal Pain|Alcoholic Beverages|Brassica|Cross-Over Studies|Double-Blind Method|Electrodiagnosis|Fabaceae|Female|Food|Humans|Intestines|Ischemia|Male|Meat|Meat Products|Mesentery|Middle Aged|Peristalsis|Plants, Medicinal|Triticum
10380726	1999	Scandinavian journal of rehabilitation medicine	SWEDEN	Acute Disease|Aged|Aged, 80 and over|Angina, Unstable|Exercise Therapy|Exercise Tolerance|Female|Heart Rate|Humans|Male|Myocardial Infarction|Syndrome
10422927	1999	Anesthesiology	UNITED STATES	Adult|Aged|Ambulatory Surgical Procedures|Female|Humans|Male|Middle Aged|Postoperative Complications|Urinary Bladder|Urinary Retention
10460765	1999	The British journal of ophthalmology	ENGLAND	Anterior Chamber|Bandages|Female|Humans|Male|Middle Aged|Pain, Postoperative|Postoperative Care|Postoperative Complications|Prospective Studies|Trabeculectomy
10503585	1999	The American journal of otology	United Kingdom	Anticonvulsants|Audiology|Cross-Over Studies|Double-Blind Method|Excitatory Amino Acid Antagonists|Female|Humans|Loudness Perception|Male|Middle Aged|Questionnaires|Severity of Illness Index|Sodium Channel Blockers|Tinnitus|Triazines
10546925	1999	Clinical pharmacology and therapeutics	UNITED STATES	Administration, Oral|Adult|Antifungal Agents|Antimalarials|Antiprotozoal Agents|Artemisinins|Beverages|Biological Availability|Citrus|Cross-Over Studies|Food-Drug Interactions|Humans|Male|Reference Values|Sesquiterpenes|Time Factors
10589859	1999	Medicine and science in sports and exercise	UNITED STATES	Adult|Analysis of Variance|Anticoagulants|Biological Availability|Blood Glucose|Dietary Carbohydrates|Dietary Fats|Exercise Test|Exercise Tolerance|Fatigue|Fatty Acids, Nonesterified|Glycerol|Heart Rate|Heparin|Humans|Lactates|Male|Oxidation-Reduction|Oxygen Consumption|Perception|Physical Endurance|Physical Exertion|Respiration|Time Factors|Triglycerides
10681104	1999	Journal of psychoactive drugs	UNITED STATES	Adolescent|Adult|Affect|Aged|Alcoholism|Behavior, Addictive|Double-Blind Method|Female|Follow-Up Studies|Hospitalization|Humans|Male|Middle Aged|Naltrexone|Narcotic Antagonists|Questionnaires|Treatment Outcome
9892590	1999	Circulation	UNITED STATES	Angioplasty, Balloon, Coronary|Catheterization|Coronary Angiography|Coronary Disease|Double-Blind Method|Follow-Up Studies|Humans|Iridium|Myocardial Revascularization|Recurrence
10634646	2000	Leukemia research	ENGLAND	Adolescent|Antineoplastic Combined Chemotherapy Protocols|Child|Child, Preschool|Cyclophosphamide|Cytarabine|Etoposide|Glucocorticoids|Granulocyte Colony-Stimulating Factor|Hematopoietic Stem Cell Mobilization|Hematopoietic Stem Cells|Humans|Interleukin-3|Methotrexate|Methylprednisolone|Neutropenia|Pilot Projects|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Prednisolone|Vincristine
10696889	2000	Diseases of the colon and rectum	UNITED STATES	Adenocarcinoma|Anal Canal|Anastomosis, Surgical|Colectomy|Colon, Sigmoid|Endosonography|Female|Humans|Intraoperative Complications|Male|Manometry|Middle Aged|Pressure|Rectum|Sigmoid Neoplasms|Sutures
10747828	2000	The Journal of antimicrobial chemotherapy	ENGLAND	Adult|Anti-Infective Agents|Ciprofloxacin|Fluoroquinolones|Humans|Male|Naphthyridines|Photosensitivity Disorders|Quinolones|Single-Blind Method|Skin|Ultraviolet Rays
10802273	2000	Contraception	UNITED STATES	Adolescent|Adult|Contraception|Female|Gravidity|Humans|Intrauterine Devices, Copper|Life Tables|Myometrium|Parity|Uterus
10852440	2000	The Journal of clinical endocrinology and metabolism	UNITED STATES	Aged|Alendronate|Alkaline Phosphatase|Biological Markers|Bone Density|Collagen|Collagen Type I|Dose-Response Relationship, Drug|Double-Blind Method|Drug Therapy, Combination|Female|Femur|Follow-Up Studies|Humans|Lumbar Vertebrae|Middle Aged|Osteocalcin|Osteoporosis, Postmenopausal|Parathyroid Hormone|Peptides|Teriparatide|Time Factors
10903213	2000	American journal of respiratory and critical care medicine	United States	Adult|Aged|Bronchoalveolar Lavage Fluid|Double-Blind Method|Endarterectomy|Female|Humans|Hypertension, Pulmonary|Lewis Blood-Group System|Male|Middle Aged|Oligosaccharides|Pulmonary Embolism|Reperfusion Injury
10957701	2000	European journal of pain (London, England)	ENGLAND	Abortion, Induced|Acetaminophen|Adult|Alfentanil|Analgesics, Non-Narcotic|Analgesics, Opioid|Anesthesia, General|Anesthetics, Intravenous|Codeine|Dilatation and Curettage|Double-Blind Method|Drug Administration Schedule|Female|Humans|Midazolam|Pain Measurement|Pain, Postoperative|Pregnancy|Propofol|Suppositories
11007679	2000	American journal of kidney diseases : the official journal of the National Kidney Foundation	UNITED STATES	Adult|Aged|Atrial Natriuretic Factor|Blood Pressure|Data Interpretation, Statistical|Diuretics|Double-Blind Method|Female|Heart Rate|Humans|Kidney Tubular Necrosis, Acute|Male|Middle Aged|Oliguria|Peptide Fragments|Placebos|Prospective Studies|Renal Dialysis|Risk Factors|Survival Rate|Treatment Outcome
11062382	2000	Molecular urology	UNITED STATES	Aged|Aged, 80 and over|Antineoplastic Agents, Hormonal|Flutamide|Health Care Costs|Humans|Male|Middle Aged|Prostate-Specific Antigen|Prostatic Neoplasms|Quality of Life
11112935	2000	European psychiatry : the journal of the Association of European Psychiatrists	FRANCE	Adult|Anticonvulsants|Bipolar Disorder|Circadian Rhythm|Cross-Over Studies|Depressive Disorder, Major|Double-Blind Method|Female|Heart Rate|Humans|Male|Middle Aged|Recurrence|Sleep|Treatment Outcome|Valproic Acid
11205676	2000	The British journal of radiology	England	Breast Neoplasms|Equipment Design|Female|Humans|Multicenter Studies as Topic|Phantoms, Imaging|Quality Assurance, Health Care|Radiotherapy Dosage|Radiotherapy Planning, Computer-Assisted|Randomized Controlled Trials as Topic
11137810	2001	Cardiovascular surgery (London, England)	England	Coronary Artery Bypass|Female|Humans|Male|Mammary Arteries|Middle Aged|Nitroprusside|Spasm|Vasodilator Agents
11212046	2001	Canadian journal of anaesthesia = Journal canadien d'anesth?sie	Canada	Adjuvants, Anesthesia|Adult|Anesthesia, General|Anesthetics, Inhalation|Electric Stimulation|Female|Fentanyl|Humans|Kinetocardiography|Male|Methyl Ethers|Middle Aged|Neuromuscular Blockade|Neuromuscular Nondepolarizing Agents|Propofol|Vecuronium Bromide
11267320	2001	Transplantation proceedings	United States	Adolescent|Adult|Aged|Aprotinin|Female|Graft Survival|Humans|Liver Transplantation|Male|Middle Aged|Serine Proteinase Inhibitors|Time Factors
11317113	2001	Spine	United States	Adult|Biopsy|Cell Size|Chronic Disease|Female|Humans|Low Back Pain|Male|Middle Aged|Muscle Contraction|Muscle Fatigue|Muscle Fibers, Skeletal|Muscle, Skeletal|Physical Therapy Modalities|Prospective Studies|Regeneration
11373466	2001	Critical care medicine	United States	APACHE|Antibodies, Monoclonal|Double-Blind Method|Enzyme-Linked Immunosorbent Assay|Female|Humans|Infusions, Intravenous|Interleukin-6|Male|Middle Aged|Regression Analysis|Sepsis
11421866	2001	Alimentary pharmacology & therapeutics	England	Administration, Oral|Adolescent|Adult|Aged|Aged, 80 and over|Dose-Response Relationship, Drug|Double-Blind Method|Esomeprazole|Esophagitis, Peptic|Female|Gastroesophageal Reflux|Heartburn|Humans|Isomerism|Male|Middle Aged|Placebos|Proton Pump Inhibitors|Recurrence|Treatment Outcome
11470622	2001	International journal of medical informatics	Ireland	Data Collection|Humans|Microcomputers|Nursing Care|Point-of-Care Systems
11519768	2001	Clinical therapeutics	United States	Adrenergic alpha-Agonists|Adrenergic beta-Antagonists|Betaxolol|Female|Humans|Intraocular Pressure|Male|Middle Aged|Multicenter Studies as Topic|Ocular Hypertension|Quality of Life|Quinoxalines|Treatment Outcome
11573662	2001	British journal of anaesthesia	England	Anesthetics, Inhalation|Child|Child, Preschool|Drug Administration Schedule|Female|Humans|Intubation, Intratracheal|Laryngeal Masks|Laryngoscopy|Logistic Models|Male|Methyl Ethers
11680648	2001	Acta odontologica Scandinavica	Norway	Adult|Analysis of Variance|Cognitive Therapy|Conscious Sedation|Dental Anxiety|Female|Humans|Male|Nitrous Oxide|Relaxation Therapy|Statistics, Nonparametric
11728760	2001	The Journal of emergency medicine	United States	Antidotes|Charcoal|Female|Flavoring Agents|Home Nursing|Humans|Infant|Male|Mothers|Patient Compliance|Self Medication|Single-Blind Method
11813601	2001	Hepato-gastroenterology	Greece	Adult|Aged|Aged, 80 and over|Chemotherapy, Adjuvant|Colorectal Neoplasms|Female|Hepatectomy|Humans|Immunotherapy|Liver Neoplasms|Male|Middle Aged|Prognosis|Prospective Studies|Survival Analysis
11771983	2002	NeuroImage	United States	Aged|Aged, 80 and over|Aging|Cerebral Cortex|Cholinergic Fibers|Cross-Over Studies|Double-Blind Method|Evoked Potentials, Auditory|Female|Glycopyrrolate|Humans|Infusions, Intravenous|Magnetoencephalography|Male|Mental Recall|Middle Aged|Receptors, Muscarinic|Scopolamine Hydrobromide|Verbal Learning
11843231	2002	Journal of the European Academy of Dermatology and Venereology : JEADV	Netherlands	Acne Vulgaris|Administration, Topical|Adolescent|Adult|China|Dermatologic Agents|Drug Administration Schedule|Female|Follow-Up Studies|Gels|Humans|Male|Naphthalenes|Severity of Illness Index|Treatment Outcome|Tretinoin
11902394	2002	Journal of the American Dietetic Association	United States	Adolescent|Adolescent Nutritional Physiological Phenomena|Child|Child Nutritional Physiological Phenomena|Dietary Fats|Environment|Female|Follow-Up Studies|Food Services|Health Promotion|Humans|Male|Menu Planning|Restaurants|Schools
11959735	2002	AJR. American journal of roentgenology	United States	Adult|Aged|Aged, 80 and over|Biopsy, Needle|Breast Neoplasms|Carcinoma|Female|Humans|Middle Aged|Posture|Reproducibility of Results|Sensitivity and Specificity|Stereotaxic Techniques
12017407	2002	Clinical therapeutics	United States	Adolescent|Blood Glucose|Child|Cross-Over Studies|Diabetes Mellitus, Type 1|Female|Hemoglobin A, Glycosylated|Humans|Hypoglycemia|Hypoglycemic Agents|Insulin|Insulin Lispro|Male|Postprandial Period
12072669	2002	Critical care medicine	United States	Adult|Amphotericin B|Anti-Bacterial Agents|Antifungal Agents|Bacterial Infections|Decontamination|Digestive System|Double-Blind Method|Female|Humans|Liver Transplantation|Male|Mycoses|Norfloxacin|Postoperative Complications|Tobramycin
12127125	2002	Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract	United States	Adult|Aged|Carbon Dioxide|Cholecystectomy, Laparoscopic|Female|Humans|Male|Middle Aged|Pneumoperitoneum, Artificial|Prospective Studies|Stress, Physiological
12182991	2002	International journal of radiation oncology, biology, physics	United States	Aged|Aged, 80 and over|Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Double-Blind Method|Humans|Ibuprofen|Male|Middle Aged|Prostate|Prostatic Neoplasms|Radiotherapy|Urologic Diseases
12235506	2002	Surgical endoscopy	Germany	Fundoplication|Gastroesophageal Reflux|Humans|Job Satisfaction|Laparoscopy|Robotics|Software|Surgery, Computer-Assisted|Time Factors|User-Computer Interface|Voice
12390569	2002	Journal of clinical periodontology	United States	Adult|Amoxicillin|Anti-Bacterial Agents|Bacteria, Anaerobic|Colony Count, Microbial|Dental Plaque|Doxycycline|Drug Resistance, Bacterial|Humans|Metronidazole|Microbial Sensitivity Tests|Penicillin Resistance|Periodontitis|Random Allocation|Saliva|Tetracycline Resistance
12439788	2002	Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et m?tabolisme	Germany	Adult|Aged|Blood Glucose|C-Reactive Protein|Diabetes Mellitus, Type 2|Dose-Response Relationship, Drug|Double-Blind Method|Drug Administration Schedule|Female|Hemoglobin A, Glycosylated|Humans|Hypoglycemic Agents|Male|Middle Aged|Thiazoles|Thiazolidinediones
12499786	2002	Taehan Kan Hakhoe chi = The Korean journal of hepatology	Korea (South)	Adult|Aged|Anti-Infective Agents|Antibiotic Prophylaxis|Bacterial Infections|Ciprofloxacin|Endoscopy|Esophageal and Gastric Varices|Female|Gastrointestinal Hemorrhage|Humans|Infusions, Intravenous|Ligation|Liver Cirrhosis|Male|Middle Aged|Postoperative Complications|Prospective Studies
12457078	2003	Dementia and geriatric cognitive disorders	Switzerland	Aged|Alzheimer Disease|Caregivers|Cholinesterase Inhibitors|Cost of Illness|Double-Blind Method|Female|Humans|Indans|Male|Piperidines|Severity of Illness Index|Treatment Outcome
12559511	2003	Journal of the neurological sciences	Netherlands	Clinical Trials as Topic|Disability Evaluation|Disease Progression|Gadolinium|Humans|Interferon-beta|Magnetic Resonance Imaging|Multiple Sclerosis, Chronic Progressive|Randomized Controlled Trials as Topic|Treatment Outcome
12613989	2003	Advances in experimental medicine and biology	United States	Administration, Topical|Adult|Aged|Aged, 80 and over|Conjunctiva|Cyclosporine|Double-Blind Method|Drug Administration Schedule|Epithelial Cells|Flow Cytometry|HLA-DR Antigens|Humans|Immunosuppressive Agents|Keratoconjunctivitis Sicca|Middle Aged
12664022	2003	Journal of the American Academy of Dermatology	United States	Adolescent|Adult|Benzimidazoles|Cold Temperature|Cross-Over Studies|Double-Blind Method|Female|Histamine H1 Antagonists|Humans|Male|Middle Aged|Urticaria
12716247	2003	The Journal of clinical psychiatry	United States	Adolescent|Adult|Aged|Antidepressive Agents|Cognitive Therapy|Combined Modality Therapy|Depressive Disorder|Female|Follow-Up Studies|Humans|Lithium Carbonate|Male|Middle Aged|Personality Inventory|Psychiatric Status Rating Scales|Secondary Prevention|Severity of Illness Index|Single-Blind Method|Treatment Outcome
12766930	2003	Human psychopharmacology	England	Adrenergic alpha-Antagonists|Adult|Antidepressive Agents|Automobile Driving|Cross-Over Studies|Double-Blind Method|Female|Humans|Male|Mianserin|Paroxetine|Questionnaires|Reaction Time|Serotonin Uptake Inhibitors|Sleep|Sleep Stages
12816783	2003	The American journal of clinical nutrition	United States	Adolescent|Child|Dietary Supplements|Double-Blind Method|Drug Therapy, Combination|Endemic Diseases|Female|Growth Disorders|Humans|Iodine|Male|Osteoarthritis|Rural Population|Selenium|Thyroid Hormones|Tibet|Treatment Outcome
12865611	2003	Cerebrovascular diseases (Basel, Switzerland)	United States	Adult|Aged|Aged, 80 and over|Blood Pressure|Cerebrovascular Circulation|Drug Therapy, Combination|Female|Fludrocortisone|Follow-Up Studies|Humans|Magnetic Resonance Imaging|Male|Middle Aged|Midodrine|Phenylephrine|Pilot Projects|Recovery of Function|Sodium Chloride|Stroke|Time Factors|Vasoconstrictor Agents
12919638	2003	BMC gastroenterology	England	Adult|Aged|Endoscopy, Digestive System|Esophageal and Gastric Varices|Female|Follow-Up Studies|Gastrointestinal Hemorrhage|Health Care Costs|Humans|Length of Stay|Male|Middle Aged|Netherlands|Sclerotherapy|Secondary Prevention|Survival Rate|Treatment Outcome
12971704	2003	Clinical rehabilitation	England	Aged|Discrimination Learning|Exercise Therapy|Female|Hemiplegia|Humans|Male|Middle Aged|Postural Balance|Stroke
14555901	2003	Eye & contact lens	United States	Adult|Cell Count|Conjunctiva|Contact Lenses, Extended-Wear|Disposable Equipment|Female|Goblet Cells|Humans|Hydrogel|Male|Middle Aged|Prosthesis Fitting|Silicone Elastomers
14614791	2003	British journal of health psychology	England	Adolescent|Adult|Analysis of Variance|Anxiety|Color Perception|Female|Forecasting|Great Britain|Gynecologic Surgical Procedures|Humans|Middle Aged|Pain, Postoperative|Perceptual Masking|Psychological Tests|Reaction Time|Regression Analysis
14667178	2003	The British journal of nutrition	England	Adult|Appetite|Body Weight|Cholecystokinin|Dietary Fats|Double-Blind Method|Eating|Energy Metabolism|Enzyme Inhibitors|Feces|Female|Humans|Lactones|Lipase|Male
15490889	2003	Journal of learning disabilities	United States	Attention|Child|Child Language|Dyslexia|Female|Humans|Intelligence|Male|Phonetics|Prospective Studies|Reading|Remedial Teaching|Verbal Behavior|Vocabulary
14715338	2004	The American journal of cardiology	United States	3',5'-Cyclic-GMP Phosphodiesterases|Coronary Disease|Double-Blind Method|Erectile Dysfunction|Humans|Male|Middle Aged|Outcome Assessment (Health Care)|Patient Satisfaction|Penile Erection|Piperazines|Prospective Studies|Purines|Safety|Sulfones|Time Factors|Vasodilator Agents
14769712	2004	Chest	United States	Aged|Amiodarone|Analysis of Variance|Anti-Arrhythmia Agents|Atrial Fibrillation|Dose-Response Relationship, Drug|Drug Administration Schedule|Electrocardiography|Female|Follow-Up Studies|Heart Conduction System|Humans|Long-Term Care|Male|Middle Aged|Probability|Propafenone|Prospective Studies|Risk Assessment|Severity of Illness Index|Single-Blind Method|Treatment Outcome
15008768	2004	BJOG : an international journal of obstetrics and gynaecology	England	Adult|Female|Heart Rate, Fetal|Humans|Infusions, Intravenous|Labor Stage, First|Labor, Induced|Oxytocics|Oxytocin|Pregnancy|Pregnancy Outcome|Prenatal Care|Prospective Studies
15063379	2004	International journal of medical informatics	Ireland	Alabama|Analysis of Variance|Chi-Square Distribution|Education, Distance|Education, Graduate|Female|Humans|Male|Medical Informatics|Program Evaluation|Video Recording
15111377	2004	Archives of internal medicine	United States	Adult|Androgens|Body Composition|Body Weight|CD4 Lymphocyte Count|Energy Intake|Female|HIV Infections|Humans|Muscle, Skeletal|Nutrition Assessment|Testosterone|Viral Load
15151912	2004	Age and ageing	England	Activities of Daily Living|Aged|Aged, 80 and over|Female|Great Britain|Health Services for the Aged|Home Care Services|Humans|Institutionalization|Long-Term Care|Male|Outcome Assessment (Health Care)|Rehabilitation Centers
15197517	2004	European journal of clinical pharmacology	Germany	Adolescent|Adult|Area Under Curve|Aryl Hydrocarbon Hydroxylases|Cross-Over Studies|Cyclohexanes|Cytochrome P-450 CYP2C9|Enzyme Inhibitors|Female|Half-Life|Humans|Hypoglycemic Agents|Male|Middle Aged|Phenylalanine|Sulfinpyrazone
15238971	2004	Evidence-based dentistry	England	
15286095	2004	Journal of clinical pharmacology	United States	Adolescent|Adult|Anticonvulsants|Area Under Curve|Carbamazepine|Dibenzazepines|Dose-Response Relationship, Drug|Double-Blind Method|Half-Life|Humans|Male|Middle Aged|Tablets
15330693	2004	Physical therapy	United States	Adult|Analysis of Variance|Biomechanical Phenomena|Female|Hip Joint|Humans|Low Back Pain|Male|Military Medicine|Military Personnel|Muscle, Skeletal|Physical Therapy Modalities|Pliability|Range of Motion, Articular|Time Factors
15383785	2004	Annals of surgery	United States	Adult|Aged|Aged, 80 and over|Aortic Aneurysm, Abdominal|Cicatrix|Esthetics|Female|Follow-Up Studies|Hernia, Ventral|Humans|Intestinal Obstruction|Laparotomy|Longitudinal Studies|Male|Middle Aged|Pain, Postoperative|Patient Satisfaction|Polypropylenes|Postoperative Complications|Recurrence|Risk Factors|Surgical Mesh|Surgical Wound Infection|Sutures
15492340	2004	Annals of internal medicine	United States	Aged|Aged, 80 and over|California|Case Management|Female|Health Maintenance Organizations|Heart Failure|Hospitalization|Humans|Male|Middle Aged|Outcome and Process Assessment (Health Care)|Patient Dropouts|Proportional Hazards Models|Risk Factors|Socioeconomic Factors
15546428	2004	Journal of human nutrition and dietetics : the official journal of the British Dietetic Association	England	Adult|Attitude to Health|Cross-Sectional Studies|Diabetes Mellitus, Type 2|Dietary Fats|Female|Food|Food Habits|Fruit|Genetic Predisposition to Disease|Glycemic Index|Health Knowledge, Attitudes, Practice|Humans|Life Style|Male|Middle Aged|Nutritional Sciences|Patient Compliance|Patient Education as Topic|Questionnaires|Risk Factors|Vegetables
15612844	2004	Journal of consulting and clinical psychology	United States	Adolescent|Adult|Aged|Alcoholism|Cocaine-Related Disorders|Continuity of Patient Care|Counseling|Female|Humans|Male|Middle Aged|Secondary Prevention|Telephone
15365788	2005	Journal of neural transmission (Vienna, Austria : 1996)	Austria	Aged|Cognition|Cross-Over Studies|Female|Humans|Male|Middle Aged|Parkinson Disease|Pergolide
15639367	2005	Burns : journal of the International Society for Burn Injuries	United States	Adolescent|Body Height|Body Weight|Burns|Child|Child, Preschool|Double-Blind Method|Drug Administration Schedule|Energy Metabolism|Female|Heart|Heart Rate|Human Growth Hormone|Humans|Infant|Injections, Subcutaneous|Male|Prospective Studies|Stroke Volume
15699229	2005	The American journal of clinical nutrition	United States	Aged|Animals|Anti-Arrhythmia Agents|Death, Sudden, Cardiac|Dietary Supplements|Docosahexaenoic Acids|Double-Blind Method|Eicosapentaenoic Acid|Electrocardiography, Ambulatory|Fatty Acids, Omega-3|Female|Fish Oils|Heart Rate|Humans|Male|Middle Aged|Ventricular Premature Complexes
15749042	2005	European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery	England	Aged|Anti-Bacterial Agents|Arteriosclerosis|Azithromycin|Chi-Square Distribution|Chlamydophila Infections|Chlamydophila pneumoniae|Double-Blind Method|Female|Humans|Male|Middle Aged|Peripheral Vascular Diseases|Statistics, Nonparametric|Treatment Outcome
15800330	2005	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	United States	Adolescent|Adult|Age Factors|Antineoplastic Combined Chemotherapy Protocols|Anxiety|Depression|Exercise Therapy|Female|Health Status|Home Care Services|Humans|Male|Mental Health|Middle Aged|Neoplasms|Oxygen Consumption|Physical Fitness|Quality of Life
15845756	2005	The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry	United States	Adult|Antipsychotic Agents|Back Pain|Bipolar Disorder|Dose-Response Relationship, Drug|Double-Blind Method|Drug Monitoring|Drug Tolerance|Female|Headache|Humans|Lithium Carbonate|Male|Middle Aged|Retrospective Studies|Treatment Outcome|Triazines
15895838	2005	Journal of orofacial pain	United States	Adolescent|Adult|Aged|Epidemiologic Methods|Female|Humans|Male|Middle Aged|Occlusal Splints|Polysomnography|Sleep Bruxism|Time Factors|Treatment Outcome
15942317	2005	Advances in skin & wound care	United States	Administration, Cutaneous|Adult|Aged|Aged, 80 and over|Analysis of Variance|Biocompatible Materials|Diabetic Foot|Extracellular Matrix|Female|Follow-Up Studies|Gels|Humans|Male|Middle Aged|Platelet-Derived Growth Factor|Prospective Studies|Proto-Oncogene Proteins c-sis|Time Factors|Treatment Outcome|Wound Healing
15988707	2005	Metabolism: clinical and experimental	United States	Adult|Base Sequence|DNA Primers|Down-Regulation|Gene Expression|Glucose|Humans|Male|Muscle, Skeletal|Oxidation-Reduction|Protein Kinases|RNA, Messenger
16043216	2005	Preventive medicine	United States	Breast Neoplasms|Female|Health Promotion|Humans|Mammography|Minnesota|Patient Compliance
16108036	2005	Hepatology (Baltimore, Md.)	United States	Anti-Bacterial Agents|Bacterial Infections|Ceftriaxone|Female|Hemodynamics|Humans|Hydroxyethyl Starch Derivatives|Kidney Function Tests|Liver Function Tests|Male|Middle Aged|Peritonitis|Pilot Projects|Plasma Substitutes|Serum Albumin|von Willebrand Factor
16161468	2005	Quintessence international (Berlin, Germany : 1985)	England	Adolescent|Adult|Chlorhexidine|Dental Plaque|Double-Blind Method|Gingivitis|Hexetidine|Humans|Middle Aged|Mouthwashes|Periodontal Index|Periodontitis|Statistics, Nonparametric
16210834	2005	The Tohoku journal of experimental medicine	Japan	Affect|Cholesterol, HDL|Cholesterol, LDL|Depression|Estrogen Replacement Therapy|Female|Humans|Menopause|Middle Aged|Prospective Studies
16271677	2005	Annals of emergency medicine	United States	Adult|Catheterization, Peripheral|Emergency Medicine|Humans|Patient Satisfaction|Prospective Studies|Treatment Outcome|Ultrasonography, Interventional
