pmid	date	journal	country	label	mesh
P2404204	1990	The New England journal of medicine	UNITED STATES	M	Adult|Azathioprine|Behcet Syndrome|Double-Blind Method|Eye Diseases|Humans|Male|Patient Compliance|Randomized Controlled Trials as Topic|Retinitis|Suppuration|Uveitis|Visual Acuity
P2405827	1990	Archives of ophthalmology	United States	X	Analysis of Variance|Cohort Studies|Cryosurgery|Female|Fundus Oculi|Humans|Infant|Infant, Newborn|Male|Multicenter Studies as Topic|Outcome and Process Assessment (Health Care)|Photography|Prognosis|Prospective Studies|Retinopathy of Prematurity
P2480626	1990	Retina (Philadelphia, Pa.)	United States	X	Aging|Choroid|Histoplasmosis|Humans|Macular Degeneration|Multicenter Studies as Topic|Neovascularization, Pathologic|Randomized Controlled Trials as Topic|Refraction, Ocular|Reproducibility of Results|Vision Tests|Vision, Low|Visual Acuity
P2640224	1990	Journal fran?ais d'ophtalmologie	FRANCE	X	Aged|Evaluation Studies as Topic|Female|Fluorescein Angiography|Humans|Laser Therapy|Light Coagulation|Macular Edema|Male|Middle Aged|Retinal Vein Occlusion|Visual Acuity
P2695556	1990	Journal fran?ais d'ophtalmologie	FRANCE	X	Acute Disease|Adolescent|Adult|Child|Chorioretinitis|Clindamycin|Drug Therapy, Combination|Female|Humans|Male|Middle Aged|Prospective Studies|Pyrimethamine|Randomized Controlled Trials as Topic|Recurrence|Sulfadiazine|Toxoplasmosis, Ocular
P2696710	1990	Fortschritte der Ophthalmologie : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft	GERMANY, WEST	X	Aged|Diclofenac|Double-Blind Method|Female|Humans|Lenses, Intraocular|Macular Edema|Male|Ophthalmic Solutions|Postoperative Complications|Randomized Controlled Trials as Topic
P2700991	1990	Journal fran?ais d'ophtalmologie	FRANCE	X	Argon|Coloring Agents|Diabetic Retinopathy|Edema|Follow-Up Studies|Humans|Lasers|Light Coagulation|Macula Lutea|Middle Aged|Postoperative Period|Randomized Controlled Trials as Topic|Retinal Diseases|Visual Acuity
P1645640	1991	Controlled clinical trials	United States	X	Blindness|Cryosurgery|Follow-Up Studies|Humans|Infant, Newborn|Information Services|Mass Media|Publishing|Referral and Consultation|Retinopathy of Prematurity|United States
P1645641	1991	Controlled clinical trials	United States	X	Bias (Epidemiology)|Cryosurgery|Data Interpretation, Statistical|Follow-Up Studies|Humans|Infant, Newborn|Prognosis|Retinopathy of Prematurity|Stochastic Processes|United States
P1651213	1991	Controlled clinical trials	United States	X	Adult|Aged|Aged, 80 and over|Certification|Documentation|Eye Diseases|Female|Gases|Humans|Male|Middle Aged|Ophthalmology|Photography|Postoperative Complications|Reoperation|Research Design|Retinal Detachment|Retinal Diseases|Silicones|Vitreous Body
P1654745	1991	The American journal of nursing	UNITED STATES	X	Acquired Immunodeficiency Syndrome|Antiviral Agents|Cytomegalovirus Infections|Foscarnet|Ganciclovir|Humans|Phosphonoacetic Acid|Retinitis
P1656826	1991	Annals of internal medicine	UNITED STATES	X	Acquired Immunodeficiency Syndrome|Adult|Antiviral Agents|Cytomegalovirus Infections|Eye Infections, Viral|Follow-Up Studies|Foscarnet|Humans|Middle Aged|Opportunistic Infections|Phosphonoacetic Acid|Retinitis|Time Factors|Visual Acuity
P1704212	1991	Archives of ophthalmology	United States	X	Body Fluids|Choroid|Fluorescein Angiography|Fundus Oculi|Humans|Neovascularization, Pathologic|Photography|Retinal Degeneration
P1710591	1991	Fortschritte der Ophthalmologie : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft	GERMANY	X	Adult|Aged|Combined Modality Therapy|Female|Fluorescein Angiography|Hemodilution|Humans|Hydroxyethyl Starch Derivatives|Male|Middle Aged|Pentoxifylline|Prospective Studies|Retinal Vein Occlusion
P1714270	1991	Archives of ophthalmology	United States	X	Argon|Choroid|Follow-Up Studies|Humans|Laser Therapy|Light Coagulation|Macula Lutea|Neovascularization, Pathologic|Recurrence|Retinal Diseases|Visual Acuity
P1718250	1991	Archives of ophthalmology	United States	X	Adult|Aged|Aged, 80 and over|Choroid|Female|Follow-Up Studies|Fovea Centralis|Fundus Oculi|Humans|Light Coagulation|Macular Degeneration|Male|Neovascularization, Pathologic|Postoperative Complications|Treatment Outcome|Visual Acuity
P1718251	1991	Archives of ophthalmology	United States	X	Aged|Aged, 80 and over|Aging|Choroid|Fluorescein Angiography|Follow-Up Studies|Fovea Centralis|Fundus Oculi|Humans|Light Coagulation|Macular Degeneration|Middle Aged|Neovascularization, Pathologic|Postoperative Complications|Recurrence|Treatment Outcome|Visual Acuity
P1718252	1991	Archives of ophthalmology	United States	X	Aging|Choroid|Fovea Centralis|Humans|Light Coagulation|Macular Degeneration|Neovascularization, Pathologic|Treatment Outcome
P1718253	1991	Archives of ophthalmology	UNITED STATES	X	Aged|Aged, 80 and over|Aging|Choroid|Clinical Protocols|Female|Follow-Up Studies|Fovea Centralis|Fundus Oculi|Humans|Light Coagulation|Macular Degeneration|Male|Middle Aged|Neovascularization, Pathologic|Treatment Outcome|Visual Acuity|Visual Fields
P1773148	1991	BMJ (Clinical research ed.)	ENGLAND	X	Adult|Cognition Disorders|Diabetes Mellitus, Type 1|Diabetic Retinopathy|Female|Humans|Hypoglycemia|Insulin|Male|Neural Conduction|Prospective Studies
P1791685	1991	Klinische Monatsbl?tter f?r Augenheilkunde	GERMANY	X	Aged|Aged, 80 and over|Brain Ischemia|Color Perception|Dose-Response Relationship, Drug|Double-Blind Method|Female|Ginkgo biloba|Humans|Intraocular Pressure|Male|Plant Extracts|Prospective Studies|Refraction, Ocular|Retinal Diseases|Signal Processing, Computer-Assisted|Visual Acuity|Visual Field Tests
P1800923	1991	Ophthalmology	United States	X	Cryosurgery|Female|Fundus Oculi|Gestational Age|Humans|Incidence|Infant|Infant, Low Birth Weight|Infant, Newborn|Male|Retinal Vessels|Retinopathy of Prematurity|United States
P1823530	1991	Archives of internal medicine	United States	X	Adult|Age Factors|Aged|Cardiovascular Diseases|Cohort Studies|Diabetes Complications|Diabetes Mellitus|Diabetic Retinopathy|Diuretics|Female|Follow-Up Studies|Humans|Hypertension|Male|Middle Aged|Monitoring, Physiologic|Proteinuria|Risk Factors|Survival Rate
P1841669	1991	European journal of ophthalmology	ITALY	X	Administration, Oral|Adult|Albuterol|Blood Flow Velocity|Blood Pressure|Diabetic Retinopathy|Double-Blind Method|Female|Humans|Image Processing, Computer-Assisted|Intraocular Pressure|Labetalol|Male|Placebos|Propranolol|Retinal Vessels
P1848618	1991	Journal of acquired immune deficiency syndromes	United States	X	Acquired Immunodeficiency Syndrome|Adult|Aged|Combined Modality Therapy|Cytomegalovirus Infections|Eye Infections, Viral|Female|Ganciclovir|Granulocyte-Macrophage Colony-Stimulating Factor|Humans|Injections, Subcutaneous|Leukocyte Count|Male|Middle Aged|Neutropenia|Opportunistic Infections|Recombinant Proteins|Retinitis
P1857482	1991	Nephron	SWITZERLAND	X	Atenolol|Blood Pressure|Chlorthalidone|Chronic Disease|Diabetic Nephropathies|Diabetic Retinopathy|Double-Blind Method|Enalapril|Female|Humans|Hypertension|Kidney|Male|Middle Aged|Proteinuria
P1865159	1991	Journal of internal medicine	ENGLAND	X	Adult|Analysis of Variance|Diabetes Mellitus, Type 1|Diabetic Nephropathies|Diabetic Neuropathies|Diabetic Retinopathy|Female|Follow-Up Studies|Glomerular Filtration Rate|Hemoglobin A, Glycosylated|Humans|Hypoglycemia|Insulin|Male|Neural Conduction|Regression Analysis|Visual Acuity|Weight Gain
P1870835	1991	Ophthalmic research	SWITZERLAND	X	Administration, Oral|Blood Viscosity|Calcium Dobesilate|Diabetic Retinopathy|Double-Blind Method|Female|Glaucoma, Open-Angle|Humans|Intraocular Pressure|Male|Middle Aged|Retinal Hemorrhage|Visual Acuity|Visual Fields
P1872141	1991	Acta ophthalmologica	DENMARK	X	Aged|Aged, 80 and over|Female|Glaucoma, Open-Angle|Humans|Incidence|Intraocular Pressure|Male|Middle Aged|Optic Disk|Pilocarpine|Premedication|Retinal Hemorrhage|Timolol
P1889771	1991	Fortschritte der Ophthalmologie : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft	GERMANY	X	Adult|Aged|Blood Flow Velocity|Conjunctiva|Female|Hemodilution|Humans|Male|Microcirculation|Middle Aged|Prospective Studies|Retinal Vein Occlusion|Rheology
P1891222	1991	Ophthalmology	UNITED STATES	X	Cataract Extraction|Follow-Up Studies|Humans|Postoperative Complications|Prognosis|Reoperation|Retinal Detachment|Scleral Buckling|Visual Acuity
P1919822	1991	Journal of perinatology : official journal of the California Perinatal Association	UNITED STATES	X	Bacterial Infections|Bronchopulmonary Dysplasia|Cerebral Hemorrhage|Female|Humans|Immunoglobulin G|Immunoglobulins, Intravenous|Incidence|Infant|Infant, Low Birth Weight|Infant, Newborn|Lung Compliance|Male|Pilot Projects|Pneumonia|Respiratory Tract Infections|Retinopathy of Prematurity|Time Factors
P1923198	1991	Obstetrics and gynecology	UNITED STATES	F	Acid-Base Equilibrium|Adult|Apgar Score|Birth Injuries|Cerebral Hemorrhage|Delivery, Obstetric|Episiotomy|Equipment Design|Female|Fetal Blood|Hemoglobins|Humans|Infant, Newborn|Obstetrical Forceps|Polyethylenes|Pregnancy|Pregnancy Outcome|Prospective Studies|Retinal Hemorrhage|Vacuum Extraction, Obstetrical
P1929909	1991	Archives of ophthalmology	UNITED STATES	X	Child, Preschool|Cryosurgery|Female|Follow-Up Studies|Humans|Infant, Newborn|Light Coagulation|Male|Random Allocation|Retinopathy of Prematurity|Sensory Thresholds|Treatment Outcome
P1951587	1991	American journal of ophthalmology	UNITED STATES	X	Administration, Topical|Anti-Inflammatory Agents, Non-Steroidal|Aphakia|Chronic Disease|Double-Blind Method|Drug Combinations|Eye Diseases|Humans|Ketorolac Tromethamine|Macular Edema|Tolmetin|Tromethamine|Visual Acuity
P1954210	1991	The British journal of ophthalmology	ENGLAND	X	Adult|Aged|Diabetic Retinopathy|Humans|Light Coagulation|Macula Lutea|Middle Aged|Retina
P1961649	1991	Ophthalmology	UNITED STATES	X	Adult|Capillaries|Diabetes Mellitus, Type 1|Diabetic Retinopathy|Female|Fluorescein Angiography|Fundus Oculi|Hemoglobin A, Glycosylated|Humans|Insulin|Longitudinal Studies|Male|Random Allocation|Retinal Vessels
P1961650	1991	Ophthalmology	UNITED STATES	X	Adult|Aged|Aged, 80 and over|Diabetic Retinopathy|Edema|Female|Fluorescein Angiography|Fundus Oculi|Humans|Light Coagulation|Longitudinal Studies|Macular Edema|Male|Middle Aged|Prospective Studies|Treatment Outcome|Visual Acuity
P1984187	1991	The New England journal of medicine	United States	X	Adult|Diabetes Mellitus, Type 1|Diabetic Nephropathies|Diabetic Retinopathy|Dietary Proteins|Female|Glomerular Filtration Rate|Humans|Iothalamic Acid|Kidney Failure, Chronic|Male|Phosphorus, Dietary|Prospective Studies
P2003796	1991	Archives of ophthalmology	United States	X	Adult|Female|Follow-Up Studies|Hemoglobin SC Disease|Humans|Light Coagulation|Male|Prospective Studies|Retinal Diseases|Retinal Neovascularization|Scattering, Radiation|Survival Analysis|Visual Acuity|Vitreous Hemorrhage
P2004725	1991	Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv f?r klinische und experimentelle Ophthalmologie	GERMANY	X	Adult|Aged|Cornea|Dexamethasone|Diabetic Retinopathy|Drug Evaluation|Female|Follow-Up Studies|Humans|Lens, Crystalline|Male|Middle Aged|Prospective Studies|Visual Acuity|Vitrectomy|Vitreous Body
P2008268	1991	Ophthalmology	UNITED STATES	X	Adult|Aged|Aged, 80 and over|Argon|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Lasers|Light Coagulation|Longitudinal Studies|Male|Middle Aged|Prognosis|Random Allocation|Visual Acuity|Xenon
P2017326	1991	Ophthalmologica. Journal international d'ophtalmologie. International journal of ophthalmology. Zeitschrift f?r Augenheilkunde	SWITZERLAND	X	Adult|Aged|Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2|Diabetic Retinopathy|Electrooculography|Electroretinography|Female|Follow-Up Studies|Humans|Light Coagulation|Male|Middle Aged|Postoperative Complications|Prospective Studies|Retina|Visual Acuity|Visual Fields
P2023732	1991	Ophthalmology	United States	X	Cryosurgery|Female|Gestational Age|Humans|Infant|Infant, Newborn|Male|Postoperative Care|Postoperative Complications|Prognosis|Retinal Detachment|Retinopathy of Prematurity|Visual Acuity|Vitrectomy
P2023749	1991	Ophthalmology	UNITED STATES	X	Aged|Female|Follow-Up Studies|Glaucoma|Humans|Incidence|Intraocular Pressure|Male|Middle Aged|Ocular Hypertension|Optic Disk|Prospective Studies|Retinal Hemorrhage|Survival Analysis|Timolol|Visual Fields
P2043065	1991	Archives of ophthalmology	UNITED STATES	X	Aging|Humans|Hypertension|Light Coagulation|Macular Degeneration|Prognosis|Vision, Ocular
P2052306	1991	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Aged, 80 and over|Bupivacaine|Double-Blind Method|Female|Humans|Male|Middle Aged|Orbit|Pain, Postoperative|Prospective Studies|Questionnaires|Retinal Detachment|Scleral Buckling|Therapeutic Irrigation
P2052309	1991	Ophthalmology	UNITED STATES	X	Contact Lenses|Fluorescein Angiography|Fundus Oculi|Humans|Macula Lutea|Microscopy|Retinal Diseases
P2062488	1991	Ophthalmology	UNITED STATES	X	Cryosurgery|Female|Follow-Up Studies|Fundus Oculi|Gestational Age|Humans|Infant|Infant, Newborn|Laser Therapy|Light Coagulation|Male|Prognosis|Prospective Studies|Retinopathy of Prematurity
P2062489	1991	Ophthalmology	United States	X	Adolescent|Adult|Anemia, Sickle Cell|Child|Female|Follow-Up Studies|Humans|Light Coagulation|Longitudinal Studies|Male|Middle Aged|Postoperative Complications|Prospective Studies|Retinal Diseases|Retinal Vessels|Visual Acuity|Vitreous Hemorrhage
P2062510	1991	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Aspirin|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Light Coagulation|Macular Edema|Male|Middle Aged|Prognosis|Research Design|Vision Tests|Visual Acuity
P2062511	1991	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Aspirin|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Life Tables|Macular Edema|Male|Middle Aged|Placebos
P2062512	1991	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Color Perception|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Life Tables|Light Coagulation|Macular Edema|Male|Middle Aged|Visual Acuity|Visual Fields
P2062513	1991	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Aneurysm|Color|Diabetic Retinopathy|Female|Fundus Oculi|Humans|Male|Middle Aged|Photography|Reproducibility of Results|Retinal Artery|Retinal Diseases|Retinal Drusen|Retinal Hemorrhage|Retinal Vein
P2062514	1991	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Diabetic Retinopathy|Female|Fluorescein|Fluorescein Angiography|Fluoresceins|Fundus Oculi|Humans|Male|Middle Aged|Photography|Pigment Epithelium of Eye|Quality Control|Reproducibility of Results|Retina|Retinal Diseases|Retinal Vessels
P2062515	1991	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Aneurysm|Aspirin|Diabetic Retinopathy|Female|Follow-Up Studies|Fundus Oculi|Humans|Light Coagulation|Male|Middle Aged|Photography|Retinal Diseases|Retinal Hemorrhage|Retinal Vessels|Risk Factors|Vitreous Hemorrhage
P2062516	1991	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Aspirin|Diabetic Retinopathy|Female|Fluorescein|Fluorescein Angiography|Fluoresceins|Follow-Up Studies|Humans|Light Coagulation|Macular Edema|Male|Middle Aged|Risk Factors
P2070884	1991	Eye (London, England)	United States	X	Anemia, Sickle Cell|Blindness|Humans|Light Coagulation|Postoperative Complications|Prospective Studies|Retinal Diseases|Risk Factors|Vitreous Hemorrhage
P2071350	1991	Investigative ophthalmology & visual science	UNITED STATES	X	Administration, Oral|Adolescent|Adult|Aged|Aged, 80 and over|Biological Assay|Chromatography, High Pressure Liquid|Ciprofloxacin|Drug Administration Schedule|Female|Humans|Male|Middle Aged|Premedication|Random Allocation|Retinal Diseases|Vitrectomy|Vitreous Body
P2095020	1991	Transactions of the American Ophthalmological Society	UNITED STATES	X	Adult|Aged|Diabetic Retinopathy|Female|Florida|Follow-Up Studies|Humans|Laser Therapy|Light Coagulation|Longitudinal Studies|Male|Middle Aged|Multicenter Studies as Topic|Randomized Controlled Trials as Topic|Survival Rate|Visual Acuity
P2265765	1991	Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv f?r klinische und experimentelle Ophthalmologie	GERMANY	X	Adult|Blood Glucose|Blood Pressure|Blood-Retinal Barrier|Captopril|Diabetes Mellitus, Type 1|Diabetic Nephropathies|Diabetic Retinopathy|Female|Fluorescein|Fluoresceins|Hemoglobin C|Humans|Male|Permeability|Prospective Studies
P2282940	1991	Eye (London, England)	ENGLAND	X	Adult|Aged|Aged, 80 and over|Argon|Diabetic Retinopathy|Female|Humans|Krypton|Light Coagulation|Macular Degeneration|Male|Middle Aged|Time Factors|Visual Acuity
P3155089	1991	Indian journal of ophthalmology	INDIA	X	Adult|Exudates and Transudates|Female|Humans|Light Coagulation|Male|Prospective Studies|Retinal Diseases|Visual Acuity
P1310572	1992	The American journal of medicine	UNITED STATES	M	Acquired Immunodeficiency Syndrome|Adult|Antiviral Agents|Cytomegalovirus Infections|Eye Infections, Viral|Foscarnet|Humans|Male|Phosphonoacetic Acid|Retinitis
P1315661	1992	Controlled clinical trials	United States	X	Acquired Immunodeficiency Syndrome|Antiviral Agents|Clinical Trials as Topic|Cytomegalovirus Infections|Drug Administration Schedule|Fluorescein Angiography|Follow-Up Studies|Foscarnet|Ganciclovir|Humans|Multicenter Studies as Topic|Opportunistic Infections|Phosphonoacetic Acid|Randomized Controlled Trials as Topic|Retinitis
P1315662	1992	Controlled clinical trials	United States	X	Bias (Epidemiology)|Case-Control Studies|Female|Follow-Up Studies|Humans|Light Coagulation|Macula Lutea|Male|Middle Aged|Multicenter Studies as Topic|Patient Dropouts|Randomized Controlled Trials as Topic|Retinal Neovascularization|Treatment Refusal
P1323624	1992	The Journal of infectious diseases	United States	X	Acquired Immunodeficiency Syndrome|Adult|Cytomegalovirus Infections|Dose-Response Relationship, Drug|Drug Evaluation|Foscarnet|HIV Core Protein p24|Humans|Middle Aged|Phosphonoacetic Acid|Retinitis|Zidovudine
P1326012	1992	The Journal of infection	ENGLAND	M	Acquired Immunodeficiency Syndrome|Antiviral Agents|Cytomegalovirus Infections|Foscarnet|Ganciclovir|HIV Seropositivity|Humans|Male|Phosphonoacetic Acid|Retinitis
P1345799	1992	The New England journal of medicine	United States	X	Acquired Immunodeficiency Syndrome|Adult|Antiviral Agents|CD4-Positive T-Lymphocytes|Cytomegalovirus Infections|Drug Therapy, Combination|Drug Tolerance|Foscarnet|Ganciclovir|Humans|Leukocyte Count|Phosphonoacetic Acid|Random Allocation|Retinitis|Zidovudine
P1371225	1992	The British journal of ophthalmology	ENGLAND	X	Humans|Light Coagulation|Middle Aged|Neovascularization, Pathologic|Prognosis|Retinal Detachment|Retinal Vessels|Retrospective Studies|Visual Acuity
P1376721	1992	Investigative ophthalmology & visual science	United States	X	Aged|Aged, 80 and over|Aging|Choroid|Electroretinography|Fluorescein Angiography|Follow-Up Studies|Fovea Centralis|Fundus Oculi|Humans|Macular Degeneration|Middle Aged|Neovascularization, Pathologic|Pattern Recognition, Visual|Random Allocation|Visual Acuity
P1390510	1992	The British journal of ophthalmology	United States	X	Aging|Birth Weight|Double-Blind Method|Gestational Age|Humans|Infant, Newborn|Retinopathy of Prematurity|Vitamin E
P1407968	1992	Ophthalmology	United States	X	Adult|Aspirin|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Laser Coagulation|Male|Middle Aged|Retinal Detachment|Treatment Outcome|Visual Acuity|Vitrectomy|Vitreous Hemorrhage
P1428550	1992	International ophthalmology	NETHERLANDS	X	Adult|Cross-Sectional Studies|Evaluation Studies as Topic|Female|Humans|Male|Middle Aged|Nerve Fibers|Ocular Hypertension|Photography|Retinal Diseases|Visual Acuity|Visual Field Tests|Visual Fields
P1432499	1992	Journal of pediatric ophthalmology and strabismus	UNITED STATES	X	Blood Pressure|Cyclopentolate|Double-Blind Method|Fundus Oculi|Gestational Age|Heart Rate|Humans|Infant, Newborn|Infant, Premature, Diseases|Ophthalmic Solutions|Ophthalmoscopy|Phenylephrine|Prospective Studies|Pupil|Retinopathy of Prematurity|Tropicamide
P1454349	1992	Ophthalmology	United States	X	Adult|Female|Humans|Male|Middle Aged|Prospective Studies|Pupil|Retinitis Pigmentosa|Tropicamide|Visual Acuity|Visual Fields
P1454350	1992	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Diabetic Retinopathy|Female|Humans|Laser Coagulation|Male|Middle Aged|Postoperative Complications|Prospective Studies|Reoperation|Risk Factors|Vision Disorders|Vitreous Hemorrhage
P1463410	1992	Archives of ophthalmology	UNITED STATES	X	Cryosurgery|Female|Gestational Age|Humans|Infant, Newborn|Intraoperative Complications|Laser Therapy|Light Coagulation|Male|Postoperative Complications|Prospective Studies|Reoperation|Retinopathy of Prematurity|Treatment Outcome
P1488874	1992	Acta ophthalmologica	DENMARK	X	Adolescent|Adult|Blood Glucose|Blood Pressure|Diabetes Mellitus, Type 1|Diabetic Retinopathy|Electroretinography|Female|Hemoglobin A, Glycosylated|Humans|Insulin|Intraocular Pressure|Longitudinal Studies|Male|Oscillometry|Prospective Studies
P1495798	1992	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Child|Female|Fluorescein Angiography|Fundus Oculi|Humans|Male|Middle Aged|Prospective Studies|Retinal Detachment|Retinal Perforations|Transforming Growth Factor beta|Visual Acuity|Vitrectomy|Wound Healing
P1497522	1992	Archives of ophthalmology	United States	X	Acute Disease|Cohort Studies|Cryosurgery|Esthetics|Eye|Humans|Infant|Infant, Newborn|Postoperative Complications|Postoperative Period|Retinal Diseases|Retinopathy of Prematurity
P1507375	1992	JAMA	UNITED STATES	X	Adolescent|Adult|Aged|Aspirin|Cerebrovascular Disorders|Diabetes Mellitus|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Incidence|Kidney Diseases|Male|Middle Aged|Morbidity|Risk Factors
P1543449	1992	Archives of ophthalmology	United States	X	Adult|Aspirin|Cataract|Diabetes Complications|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Life Tables|Light Coagulation|Male|Middle Aged|Placebos|Proportional Hazards Models|Risk Factors|Visual Acuity
P1560798	1992	The New England journal of medicine	UNITED STATES	X	Bronchopulmonary Dysplasia|Double-Blind Method|Enteral Nutrition|Female|Follow-Up Studies|Gestational Age|Humans|Infant|Infant, Newborn|Inositol|Male|Parenteral Nutrition|Pulmonary Surfactants|Respiratory Distress Syndrome, Newborn|Retinopathy of Prematurity|Ventilators, Mechanical
P1565444	1992	Ophthalmology	United States	X	Anisometropia|Astigmatism|Cryosurgery|Female|Follow-Up Studies|Humans|Incidence|Infant|Infant, Low Birth Weight|Infant, Newborn|Infant, Premature|Male|Myopia|Retinopathy of Prematurity
P1579337	1992	Ophthalmologica. Journal international d'ophtalmologie. International journal of ophthalmology. Zeitschrift f?r Augenheilkunde	SWITZERLAND	X	Adolescent|Adult|Aged|Diabetic Retinopathy|Double-Blind Method|Drug Tolerance|Female|Fluorescein Angiography|Follow-Up Studies|Humans|Longitudinal Studies|Male|Middle Aged|Ticlopidine
P1580837	1992	Archives of ophthalmology	United States	X	Cryosurgery|Follow-Up Studies|Humans|Infant|Infant, Newborn|Retina|Retinopathy of Prematurity|Vision, Ocular|Visual Acuity
P1596224	1992	Archives of ophthalmology	United States	X	Adult|Aged|Aged, 80 and over|Eye Diseases|Female|Follow-Up Studies|Humans|Male|Middle Aged|Postoperative Complications|Reoperation|Retinal Detachment|Retinal Diseases|Silicone Oils|Sulfur Hexafluoride|Treatment Outcome|Visual Acuity|Vitrectomy|Vitreous Body
P1596225	1992	Archives of ophthalmology	United States	X	Adult|Aged|Aged, 80 and over|Eye Diseases|Female|Fluorocarbons|Follow-Up Studies|Humans|Male|Middle Aged|Postoperative Complications|Reoperation|Retinal Detachment|Retinal Diseases|Silicone Oils|Treatment Outcome|Visual Acuity|Vitrectomy|Vitreous Body
P1603539	1992	Ophthalmic surgery	UNITED STATES	X	Aged|Aged, 80 and over|Atropine|Cataract Extraction|Eyeglasses|Female|Humans|Injections|Macular Edema|Male|Methylprednisolone|Photoreceptor Cells|Prednisolone|Prospective Studies|Vision Tests|Visual Acuity
P1611137	1992	Journal of diabetes and its complications	UNITED STATES	X	Aneurysm|Diabetic Retinopathy|Double-Blind Method|Female|Hemoglobin A, Glycosylated|Humans|Male|Middle Aged|Phthalazines|Placebos|Retinal Vessels
P1635361	1992	Klinika oczna	POLAND	X	Adult|Aged|Double-Blind Method|Epoprostenol|Female|Humans|Infusion Pumps|Male|Middle Aged|Placebos|Retinal Vein Occlusion|Time Factors|Visual Acuity
P1734985	1992	BMJ (Clinical research ed.)	ENGLAND	X	Adolescent|Adult|Blood Glucose|Diabetes Mellitus, Type 1|Diabetic Retinopathy|Female|Follow-Up Studies|Hemoglobin A, Glycosylated|Humans|Male|Prospective Studies|Risk Factors
P1790735	1992	Documenta ophthalmologica. Advances in ophthalmology	NETHERLANDS	X	Adolescent|Adult|Aldehyde Reductase|Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2|Diabetic Retinopathy|Double-Blind Method|Female|Follow-Up Studies|Humans|Male|Middle Aged|Phthalazines|Placebos
P1794814	1992	Fortschritte der Ophthalmologie : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft	GERMANY	X	Adult|Female|Filtration|Humans|Male|Middle Aged|Retina|Retinitis Pigmentosa|Sunlight|Ultraviolet Rays
P1808822	1992	Transactions of the American Ophthalmological Society	United States	X	Blood Gas Analysis|Cohort Studies|Gestational Age|Humans|Incidence|Infant, Low Birth Weight|Infant, Newborn|Odds Ratio|Oxygen|Retinopathy of Prematurity
P1306479	1993	Documenta ophthalmologica. Advances in ophthalmology	NETHERLANDS	X	Diabetic Retinopathy|Humans|Laser Coagulation|Middle Aged|Prospective Studies|Random Allocation|Retina|Vision Disorders|Visual Field Tests|Visual Fields
P7508322	1993	The Online journal of current clinical trials	United States	X	Adult|Aged|Aged, 80 and over|Female|Glaucoma, Neovascular|Humans|Iris|Ischemia|Laser Coagulation|Macular Edema|Male|Middle Aged|Neovascularization, Pathologic|Prospective Studies|Retinal Artery Occlusion|Vision Disorders|Visual Acuity
P7679269	1993	Archives of ophthalmology	UNITED STATES	X	Argon|Choroid|Female|Fluorescein Angiography|Fovea Centralis|Humans|Krypton|Laser Coagulation|Macular Degeneration|Male|Middle Aged|Neovascularization, Pathologic|Ophthalmoscopy|Retinal Drusen|Treatment Outcome|Visual Acuity
P7688950	1993	Archives of ophthalmology	United States	X	Adult|Aged|Aged, 80 and over|Edema|Female|Follow-Up Studies|Humans|Iris|Light Coagulation|Macula Lutea|Male|Middle Aged|Neovascularization, Pathologic|Retinal Diseases|Retinal Vein Occlusion|Visual Acuity
P7689826	1993	Archives of ophthalmology	United States	X	Aged|Aged, 80 and over|Blindness|Choroid|Female|Fluorescein Angiography|Follow-Up Studies|Fovea Centralis|Fundus Oculi|Humans|Incidence|Longitudinal Studies|Macular Degeneration|Male|Middle Aged|Neovascularization, Pathologic|Prognosis|Prospective Studies|Risk Factors|Visual Acuity
