name	uid	treepos	children
Cyclodextrins	D003505	D04.345.103|D09.698.365.855.400.375	D047392|D047408|D047391
Cyclofenil	D003506	D02.455.426.559.389.657.239.402	
Cycloheptanes	D003508	D02.455.426.392.368.284	D052176|D014334|D045789|D001537
Cyclohexanecarboxylic Acids	D003509	D02.241.223.268|D02.455.426.392.368.367.218	D001312|D014148|D002827|D002726|D012765|D011801|D013993|D004025|D000040
Cyclohexanes	D003510	D02.455.426.392.368.367	D053138|D003509|D001371|D003514|D003511|D003512|D013992|D003471|D003494|D010852|D004025|D007649
Cyclohexanols	D003511	D02.033.415.510.500|D02.455.426.392.368.367.318|D10.289.510.500	D008610|D014147|D000069468|D000069470
Cyclohexanones	D003512	D02.455.426.392.368.367.340|D02.522.400	D013992
Cycloheximide	D003513	D03.383.621.808.240	
Cyclohexylamines	D003514	D02.092.384|D02.455.426.392.368.367.418	D001964
Cycloleucine	D003515	D02.455.426.392.368.450.350|D12.125.072.170	
Cycloparaffins	D003516	D02.455.426.392.368|D04.345.133	D034242|D043822|D003508|D003521|D003503|D003517|D003510|D000218|D054812
Cyclopentanes	D003517	D02.455.426.392.368.450	D003515
Cyclopenthiazide	D003518	D02.886.590.700.135.285|D02.886.655.500.285|D03.633.100.174.285	
Cyclopentolate	D003519	D02.241.223.601.200	
Cyclophosphamide	D003520	D02.455.526.728.650.730.243|D02.705.672.500.243	D007069
Cyclopropanes	D003521	D02.455.426.392.368.533	D015377|D007005
Cycloserine	D003523	D03.383.129.385.162|D03.383.129.462.600.162|D12.125.154.800.750	
Cyclosporins	D003524	D04.345.566.235|D12.644.641.235	D016572
Cyclosteroids	D003525	D04.210.500.294	
Cyclothymic Disorder	D003527	F03.600.500	
Carcinoma, Adenoid Cystic	D003528	C04.557.470.200.025.220	
Cymarine	D003529	D04.210.500.155.580.130.750.250|D09.408.180.810.250	
Cyprinidae	D003530	B01.050.150.900.493.200.244	D015027|D002347
Cypriniformes	D003531	B01.050.150.900.493.200	D003530
Cyprinodontiformes	D003532	B01.050.150.900.493.850.280	D023781|D011036|D007695
Cyproheptadine	D003533	D02.455.426.559.847.181.384.340|D03.383.621.160|D04.615.181.384.340	D017336
Cyproterone	D003534	D04.210.500.745.432.219|D04.210.500.883.419	D017373
Cyprus	D003535	Z01.542.580.500.300|Z01.639.640.300	
Cystadenocarcinoma	D003536	C04.557.470.200.025.480|C04.557.470.590.480	D018282|D018283|D018284
Cystadenoma	D003537	C04.557.470.035.320|C04.557.470.590.485	D018293|D018292|D018291
Cystamine	D003538	D02.092.471.200	
Cystaphos	D003539	D02.705.400.625.130|D02.705.539.345.130|D02.886.300.692.130	
Cystathionine	D003540	D02.886.030.175|D12.125.095.307|D12.125.119.307|D12.125.166.175	
Cystathionine beta-Synthase	D003541	D08.811.520.241.300.200	
Cystathionine gamma-Lyase	D003542	D08.811.520.300.250	
Cysteamine	D003543	D02.092.471.562.369|D02.886.489.472.369	
Cysteic Acid	D003544	D02.886.030.215|D12.125.166.215	
Cysteine	D003545	D02.886.030.230|D02.886.489.155|D12.125.154.299|D12.125.166.230	D017279|D003548|D000111|D002233|D003553
Cysteine Endopeptidases	D003546	D08.811.277.656.262.500|D08.811.277.656.300.200	D001963|D064247|D010206|D020169|D056655|D005361|D002154|D002917|D056664|D056668|D002401|D056657|D056646
Cysteine Synthase	D003547	D08.811.913.225.224	
Cysteinyldopa	D003548	D02.092.311.200.180|D02.886.030.230.330|D12.125.072.050.685.400.180|D12.125.072.050.875.130.180|D12.125.166.230.330	
Cystic Duct	D003549	A03.159.183.079.450	
Cystic Fibrosis	D003550	C06.689.202|C08.381.187|C16.320.190|C16.614.213	
Cysticercosis	D003551	C03.335.190.902.185	D020019
Cysticercus	D003552	B01.050.500.500.736.215.895.286	
Cystine	D003553	D01.248.497.158.874.390.369|D01.875.350.850.150.369|D02.886.030.230.369|D02.886.520.150.087|D12.125.095.369|D12.125.119.369|D12.125.166.230.369	
Cystinosis	D003554	C16.320.565.595.377|C18.452.648.595.377	
Cystinuria	D003555	C12.777.419.815.885.250|C13.351.968.419.815.885.250|C16.320.565.861.885.250|C18.452.648.861.885.250	
Cystitis	D003556	C12.777.829.495|C13.351.968.829.495	D053653|D018856
Phyllodes Tumor	D003557	C04.557.450.795.650	
Cystoscopy	D003558	E01.370.388.250.180|E01.370.390.175|E04.502.250.180|E04.950.774.155	
Cystostomy	D003559	E04.579.240|E04.950.774.852.240	
Cysts	D003560	C04.182|C23.300.306	D008210|D013581|D045888|D014496|D003884|D015529|D011900|D010181|D013088|D005497|D004814|D004934|D001935|D047688|D017043|D013955|D010048|D001994|D016080|D009078|D010864|D008639|D008476|D052958|D056364|D010310|D001845
Cytarabine	D003561	D03.383.742.680.245.453|D13.570.065.300|D13.570.685.245.453	D003504
Cytidine	D003562	D03.383.742.680.245|D13.570.685.245|D13.570.800.286	D001374|D003561|D003841
Cyclic CMP	D003563	D03.383.742.686.246.115|D13.695.462.250|D13.695.740.246.115|D13.695.827.232.115	
Cytidine Deaminase	D003564	D08.811.277.151.486.250	D000071478
Cytidine Diphosphate	D003565	D03.383.742.686.246.150|D13.695.740.246.150|D13.695.827.232.150	D003567|D003566
Cytidine Diphosphate Choline	D003566	D02.092.877.883.333.130|D02.675.276.232.130|D03.383.742.686.246.150.180|D13.695.740.246.150.180|D13.695.827.232.150.180	
Cytidine Diphosphate Diglycerides	D003567	D03.383.742.686.246.150.210|D09.408.620.569.200|D13.695.740.246.150.210|D13.695.827.232.150.210|D13.695.827.708.260	
Cytidine Monophosphate	D003568	D03.383.742.686.246.370|D13.695.740.246.370|D13.695.827.232.370	D003569
Cytidine Monophosphate N-Acetylneuraminic Acid	D003569	D02.241.081.844.562.668.250|D02.241.511.902.562.668.250|D03.383.742.686.246.370.250|D09.067.687.668.250|D09.811.589.668.250|D13.695.740.246.370.250|D13.695.827.232.370.250	
Cytidine Triphosphate	D003570	D03.383.742.686.246.400|D13.695.740.246.400|D13.695.827.232.400	
Cytochalasin B	D003571	D03.633.100.473.231.370|D23.946.587.370.370	
Cytochalasins	D003572	D03.633.100.473.231|D23.946.587.370	D003571|D015638
Cytochrome b Group	D003573	D08.244.187|D12.776.422.220.187	D015786|D045303|D045347
Cytochrome c Group	D003574	D08.244.286|D12.776.422.220.286	D045362|D045304|D045365|D045305|D003575
Cytochromes c1	D003575	D08.244.286.200|D12.776.422.220.286.200	
Electron Transport Complex IV	D003576	D05.500.562.374|D08.811.600.250.687|D08.811.682.285|D12.776.157.530.450.250.875.304|D12.776.543.277.687|D12.776.543.585.450.250.875.484	
Cytochrome P-450 Enzyme System	D003577	D08.244.453|D08.811.682.690.708.170|D12.776.422.220.453	D001189|D013250|D000072503|D000072500|D000072498|D000072501|D019475|D050564|D000072469|D000072472|D000072478|D000072505|D000072467|D000072496|D000072497|D000072461|D000072470|D000072476|D000072477|D000072474|D000072475
Cytochrome-c Peroxidase	D003578	D08.811.682.732.380	
Cytochrome Reductases	D003579	D08.811.682.608.191	D009251|D042966
Cytochromes	D003580	D08.244|D12.776.422.220	D045348|D017937|D017936|D003573|D003577|D003574
Cytodiagnosis	D003581	E01.370.225.500.384|E05.200.500.384|E05.242.384	D000649|D001706|D007620|D003588
Cytogenetics	D003582	H01.158.273.343.180	
Cytokinins	D003583	D03.633.100.759.138.525	D007701|D015026|D007541
Cytological Techniques	D003584	E01.370.225.500|E05.200.500|E05.242	D002458|D006651|D058501|D058948|D000067470|D003581|D059010|D054443|D002452|D018929|D002469|D018274|D003114|D018408|D057905|D002459|D020732|D003592|D064688|D016591|D004354
Cell Biology	D003585	H01.158.100.433|H01.158.273.190	
Cytomegalovirus Infections	D003586	C02.256.466.245	D017726
Cytomegalovirus	D003587	B04.280.382.150.150	
Cytopathogenic Effect, Viral	D003588	E01.370.225.500.384.235|E05.200.500.384.235|E05.242.384.235|G06.920.190	
Cytophaga	D003589	B03.140.130.150|B03.440.400.425.300.150	
Cytophotometry	D003592	E01.370.225.500.386|E05.196.712.516.600.240|E05.200.500.386|E05.242.386	D005434|D019044
Cytoplasm	D003593	A11.284.430.214	D022083|D003600
Cytoplasmic Granules	D003594	A11.284.430.214.190.500|A11.284.430.214.190.875.190.190	D020302|D008830|D020460|D009562|D002837
Cytoplasmic Streaming	D003595	G03.143.355|G04.392	D001370
Cytosine	D003596	D03.383.742.698.421	D005437|D044503
Cytosine Nucleotides	D003597	D03.383.742.686.246|D13.695.740.246|D13.695.827.232	D003845|D001085|D003565|D003570|D003563|D003568
Cytoskeletal Proteins	D003598	D12.776.220	D051177|D058112|D000071198|D016608|D007381|D051191|D055233|D008868|D049411|D051179|D060589|D013049|D049029|D016596|D016189|D025601|D008840
Cytoskeleton	D003599	A11.284.430.214.190.750	D008870|D008941|D009454|D009210|D007382|D008841|D022101
Cytosol	D003600	A11.284.430.214.200|A11.284.430.429.200|A11.284.835.450.200	
Cytotoxicity Tests, Immunologic	D003601	E01.370.225.812.160|E05.200.812.160|E05.478.594.160|E05.940.245	D015941
Cytotoxicity, Immunologic	D003602	G12.287	D000920|D008262
Cytotoxins	D003603	D27.888.569.213	D053878
Czechoslovakia	D003604	Z01.586.250	
D-Amino-Acid Oxidase	D003605	D08.811.682.664.500.125	
Dacarbazine	D003606	D02.925.200|D03.383.129.308.240	
Dacryocystitis	D003607	C11.496.221	D000069282
Dacryocystorhinostomy	D003608	E04.540.255|E04.579.255	
Dactinomycin	D003609	D03.633.300.200|D04.345.566.252|D12.644.641.252	
Dagestan	D003610	Z01.542.248.775.310|Z01.586.200.775.310|Z01.586.950.775.310	
Dairy Products	D003611	G07.203.300.350|J02.500.350	D007054|D008892|D008383|D002079|D043302
Dairying	D003612	J01.040.246	
Danazol	D003613	D04.210.500.745.432.235	
Dance Therapy	D003614	E02.190.888.374|E02.760.169.063.500.230|E02.779.474.186|E02.831.230|F04.754.278	
Dancing	D003615	I03.450.642.287	
Dandy-Walker Syndrome	D003616	C10.228.140.252.300|C10.228.140.602.500|C10.500.205|C16.131.666.205	
Dangerous Behavior	D003617	F01.145.263|I01.880.735.223	D000066448|D055807
Dansyl Compounds	D003619	D02.455.426.559.847.638.204|D02.886.590.192|D04.615.638.204	
Dantrolene	D003620	D03.383.129.308.432.555.287	
Daphnia	D003621	B01.050.500.131.365.150.200	
Dapsone	D003622	D02.886.590.263	D000072
Dark Adaptation	D003623	G14.020.371	
Darkness	D003624	G01.590.540.233	
Data Collection	D003625	E05.318.308|L01.280|N05.715.360.300|N06.850.520.308	D011996|D015577|D066264|D000068598|D011795|D015596|D055810|D007407|D017144|D065709|D057189|D062489|D012042|D033262|D063045|D014798
Data Display	D003626	F02.784.412.221|L01.296	D003196
Data Interpretation, Statistical	D003627	E05.245.380|E05.318.740.300|L01.313.500.750.190.380|N05.715.360.750.300|N06.850.520.830.300	
Database Management Systems	D003628	L01.224.900.280|L01.313.500.750.300.680.110|N04.452.515.110	
Modems	D003629	L01.178.847.698.500|L01.224.230.260.115.750	
Daunorubicin	D003630	D02.455.426.559.847.562.050.200|D04.615.562.050.200|D09.408.051.059.200	D002360|D004317|D009621|D015255
Day Care, Medical	D003631	E02.760.246|N02.421.585.246	
Dichlorodiphenyldichloroethane	D003632	D02.455.526.439.294	
Dichlorodiphenyl Dichloroethylene	D003633	D02.455.526.439.292	
DDT	D003634	D02.455.526.439.255	
De Lange Syndrome	D003635	C10.597.606.643.210|C16.131.077.272|C16.131.260.210|C16.320.180.210	
DEAE-Cellulose	D003636	D09.698.365.180.247	
DEAE-Dextran	D003637	D09.698.365.272.250	
Deafness	D003638	C09.218.458.341.186|C10.597.751.418.341.186|C23.888.592.763.393.341.186	D054062
Hearing Loss, Sudden	D003639	C09.218.458.341.900|C10.597.751.418.341.900|C23.888.592.763.393.341.900	
Dealkylation	D003640	G02.111.188|G02.607.141|G03.219	
Deamination	D003641	G02.111.192|G02.607.157|G03.222	
Deanol	D003642	D02.033.100.291.274|D02.092.063.291.274	
Death	D003643	C23.550.260	D001237|D002102|D003645|D020964|D004332|D063129|D066088|D066087|D001926|D005313|D000071298
Death Certificates	D003644	E05.318.308.940.350|L01.280.900.350|N04.452.859.264|N05.715.360.300.715.315|N06.850.520.308.940.350	
Death, Sudden	D003645	C23.550.260.322	D013398|D016757
Debridement	D003646	E04.176	
Debrisoquin	D003647	D03.633.100.531.205	
Decalcification Technique	D003648	E01.370.225.750.288|E05.200.750.288	
Decalcification, Pathologic	D003649	C05.116.198.247.400|C18.452.104.247.400|C18.452.174.289	
Decamethonium Compounds	D003650	D02.092.877.250.372|D02.675.276.558.372	
Decanoates	D003651	D10.251.175.200	
Decanoic Acids	D003652	D10.251.175	D003651
Decarboxylation	D003653	G02.111.195|G02.607.188|G03.225	
Deceleration	D003654	G01.482.107.373	
Decerebrate State	D003655	C10.597.305|C23.888.592.298	
Decidua	D003656	A05.360.319.679.490.373|A16.710.289	D033301
Decision Making	D003657	F02.463.785.373	D035501|D002755|D034462|D032921|D017008|D001362
Decision Making, Computer-Assisted	D003658	L01.313.500.750.100	D013813|D003936
Decision Making, Organizational	D003659	N04.452.190	
Decision Support Systems, Management	D003660	L01.313.500.750.300.680.135|N04.452.515.135	
Decision Support Techniques	D003661	E05.245|L01.313.500.750.190	D003627
Decision Theory	D003662	G17.162	D003663
Decision Trees	D003663	G17.162.500	
Decompression	D003664	E02.278|G01.374.715.250	D008150|D019646
Decompression Sickness	D003665	C26.120.248	
Decontamination	D003666	N06.850.780.325	
Decoquinate	D003667	D03.633.100.810.350.250	
Pressure Ulcer	D003668	C17.800.893.665	
Deductibles and Coinsurance	D003669	N03.219.151.170.300|N03.219.521.576.090.300	
Deer	D003670	B01.050.150.900.649.077.380.373	D018668|D012053
DEET	D003671	D02.065.277.194|D02.241.223.100.100.230|D02.455.426.559.389.127.085.230	
Defecation	D003672	G10.261.165	
Defective Viruses	D003673	B04.265	D013190|D009053|D012526|D005253|D003698
Defense Mechanisms	D003674	F01.393	D012094|D004208|D005201|D007062|D012043|D011908|D000184|D010467|D006380|D011385|D003717|D013359
Defensive Medicine	D003675	I01.880.604.583.524.300|N03.706.535.606.300	
Deferoxamine	D003676	D02.092.570.394.265|D02.241.511.372.265	
Deficiency Diseases	D003677	C18.654.521.500	D001361|D011488|D013540|D008275|D011191
Defoliants, Chemical	D003678	D27.720.031.700.366.181|D27.888.723.366.181	
Deglutition	D003679	G10.261.178	
Deglutition Disorders	D003680	C06.405.117.119|C09.775.174	D015154
Dehydration	D003681	C18.452.950.179|C23.550.274	
Dehydroascorbatase	D003682	D08.811.277.352.100.220	
Dehydroascorbic Acid	D003683	D02.241.081.844.107.260|D02.241.511.902.107.260|D02.540.260|D09.811.100.260	
Dehydrocholesterols	D003684	D04.210.500.247.222.222.347.200|D04.210.500.247.808.197.250|D10.570.938.208.320	D003897
Dehydrocholic Acid	D003685	D04.210.500.105.225.261|D04.210.500.221.430.265	
Dehydroepiandrosterone	D003687	D04.210.500.054.079.429.625|D04.210.500.578.502.400|D06.472.040.502.400|D06.472.334.851.968.952	D019314
Deinstitutionalization	D003688	E02.760.415.280|N02.421.585.415.280	
Vestibular Nucleus, Lateral	D003689	A08.186.211.132.810.428.600.800.800	
Deja Vu	D003690	F02.463.425.540.203	
Delaware	D003691	Z01.107.567.875.500.200	
Delayed-Action Preparations	D003692	D26.255.210|E02.319.300.253	D004343|D013608
Delirium	D003693	C10.597.606.337.500|C23.888.592.604.339.500|F01.700.250.500|F03.615.350	D000071257
Delivery of Health Care	D003695	N04.590.374|N05.300	D032022|D010818|D064876|D017216|D057184|D006301|D063128|D063127|D020380|D000071836|D065246|D011369|D006297|D008329|D039602|D019239|D057193|D005102|D001294|D054625|D001291|D001293|D017048|D018166|D006292|D006295|D017664|D011357|D019033
Delivery Rooms	D003696	N02.278.388.150	
Delphi Technique	D003697	L01.280.960.310	
Hepatitis Delta Virus	D003698	B04.265.270|B04.450.411|B04.820.300	
Hepatitis D	D003699	C02.440.450|C02.782.450|C06.552.380.705.450	D019701
Delta Rhythm	D003700	E01.370.376.300.150.875|E01.370.405.245.287.875|G07.265.087.875|G11.561.127.875	
Delta Sleep-Inducing Peptide	D003701	D12.644.400.200|D12.644.456.300|D12.776.631.650.200	
Delusions	D003702	F01.145.126.200	
Demecolcine	D003703	D03.132.225.374	
Dementia	D003704	C10.228.140.380|F03.615.400	D057174|D006816|D015140|D020232|D018888|D000544|D020961|D015526|D007562|D055956
Demeclocycline	D003707	D02.455.426.559.847.562.900.185|D04.615.562.900.185	
Nordazepam	D003708	D03.633.100.079.080.070.216.500	
Democracy	D003709	I01.696.374	
Demography	D003710	I01.240|N01.224|N06.850.505.400	D006304|D019352|D044382|D011157|D011156|D000069457|D005006|D005191|D017677|D017678|D014798|D012111
Demyelinating Diseases	D003711	C10.314	D011129|D054319|D007968|D060486|D052879|D017590|D020278|D020279
Dendrites	D003712	A08.675.256|A11.284.180.225|A11.671.240	D016501|D020439|D049229
Dendritic Cells	D003713	A11.066.270|A11.436.270|A15.382.066.270|A15.382.812.260	D007801
Denervation	D003714	E04.525.210	D009407|D015171|D014628|D009409|D019771|D017763|D002818|D009121|D019051
Dengue	D003715	C02.081.270|C02.782.350.250.214|C02.782.417.214	D019595
Dengue Virus	D003716	B04.820.250.350.270	
Denial (Psychology)	D003717	F01.393.200	
Denmark	D003718	Z01.542.816.124	D006116
Dens in Dente	D003719	C07.650.800.250|C07.793.700.250|C16.131.850.800.250	
Densitometry	D003720	E05.196.712.224	D015502
Dental Alloys	D003722	D25.339.208|J01.637.051.339.208	D003723|D006047|D016876|D002858
Dental Amalgam	D003723	D25.339.208.291|J01.637.051.339.208.291	
Dental Arch	D003724	A02.835.232.781.324.502.320|A14.521.320	
Dental Articulators	D003725	E06.186.210|E07.222.210	
Dental Assistants	D003726	M01.526.485.067.105.250|N02.360.067.105.250	
Dental Auxiliaries	D003727	M01.526.485.067.105|N02.360.067.105	D003756|D003800|D003726|D003835
Dental Calculus	D003728	C07.793.208.250|C23.300.175.350	
Dental Care	D003729	E06.170|N02.421.240.190	D003730|D016321|D019140|D017742
Dental Care for Disabled	D003730	E06.170.310|N02.421.240.190.230	
Dental Caries	D003731	C07.793.720.210	D017213|D003750
Dental Caries Activity Tests	D003732	E06.342.250	
Dental Caries Susceptibility	D003733	G10.549.140	
Dental Casting Investment	D003734	D25.339.250|J01.637.051.339.250	
Dental Casting Technique	D003735	E06.780.250|E06.912.115	
Dental Cavity Lining	D003736	E06.323.225	
Dental Cavity Preparation	D003737	E06.931.325	
Dental Cements	D003738	D25.339.291|J01.637.051.339.291	D017220|D012823|D011076|D019279|D063225|D015035|D020770|D015036|D005899
Dental Cementum	D003739	A14.549.167.646.267|A14.549.167.900.250	
Dental Clinics	D003740	N02.278.192.250	
Dental Deposits	D003741	C07.793.208	D003728|D016369|D003773
Dental Devices, Home Care	D003742	E06.186.250|E06.761.726.292|E07.222.250	
Dental Enamel	D003743	A14.549.167.900.255	D044622
Dental Enamel Hypoplasia	D003744	C07.650.800.255|C07.793.700.255|C16.131.850.800.255	D000567
Dental Enamel Permeability	D003745	G10.549.845.292	
Dental Enamel Proteins	D003746	D12.776.231	D053523
Dental Enamel Solubility	D003747	G10.549.181	
Dental Equipment	D003748	E06.186|E07.222	D016733|D055117|D003742|D003762|D003754|D003725
Dental Facilities	D003749	N02.278.192	D003740|D003770|D007754
Dental Fissures	D003750	C07.793.720.210.220	
Dental Fistula	D003751	C07.465.614.187|C23.300.575.500.275	
Dental Health Services	D003752	N02.421.240	D003729|D003796
Dental Health Surveys	D003753	E05.318.308.980.438.300|E06.208|L01.280.960.500.300|N05.715.360.300.800.438.300|N06.850.520.308.980.438.300|N06.890.160	D003774|D061326|D004245|D010512|D009911
Dental High-Speed Equipment	D003754	E06.186.376|E07.222.376	
Dental High-Speed Technique	D003755	E06.216	
Dental Hygienists	D003756	M01.526.485.067.105.376|N02.360.067.105.376	
Dental Implantation	D003757	E04.545.550.280|E04.650.230|E06.645.550.280|E06.780.314	D016299|D003758
Dental Implantation, Endosseous	D003758	E04.545.550.280.280|E04.650.230.500|E06.645.550.280.280|E06.780.314.310	D001751|D057893|D003759
Dental Implantation, Endosseous, Endodontic	D003759	E04.545.550.280.280.280|E04.650.230.500.280|E06.397.345|E06.645.550.280.280.280|E06.780.314.310.360	
Dental Impression Materials	D003760	D25.339.334|J01.637.051.339.334	D007283
Dental Impression Technique	D003761	E06.912.130	
Dental Instruments	D003762	E06.186.501|E07.222.501	D008434
Dental Leakage	D003763	C07.793.221	
Dental Materials	D003764	D25.339|D27.720.102.339|J01.637.051.339	D057872|D003776|D012387|D003760|D010895|D003722|D015921|D003734|D003738|D012117|D058567
Dental Models	D003765	E06.261|J01.897.280.500.545.129.200|L01.178.820.090.545.129.200	
Dental Occlusion	D003766	E06.276|G10.549.208	D003767|D001732|D003768
Dental Occlusion, Balanced	D003767	E06.276.293	
Dental Occlusion, Centric	D003768	E06.276.459	D014716
Dental Occlusion, Traumatic	D003769	C07.793.494.293	
Dental Offices	D003770	N02.278.192.377	
Dental Papilla	D003771	A14.549.167.900.720.250	
Dental Pins	D003772	E06.292	
Dental Plaque	D003773	C07.793.208.377	
Dental Plaque Index	D003774	E05.318.308.980.438.300.300|E06.208.250|L01.280.960.500.300.300|N05.715.360.300.800.438.300.325|N06.850.520.308.980.438.300.300|N06.890.160.090	
Dental Polishing	D003775	E06.298	
Dental Porcelain	D003776	D25.339.376|J01.637.051.339.376|J01.637.153.377	
Dental Prophylaxis	D003777	E06.721.189|E06.761.227	D012534|D057747
Dentures	D003778	E06.780.346.760|E07.695.190.200	D003822|D003823|D003819|D003779|D003828|D003829|D003824|D003781|D003780
Denture Design	D003779	E06.780.346.760.300|E06.912.250	
Denture Repair	D003780	E06.780.346.760.500|E06.912.285	
Denture Retention	D003781	E06.780.346.760.550	
Dental Pulp	D003782	A14.549.167.900.260	
Dental Pulp Calcification	D003784	C07.793.237.252	
Dental Pulp Capping	D003785	E06.397.370	
Dental Pulp Cavity	D003786	A14.549.167.900.265	
Dental Pulp Devitalization	D003787	E06.397.778.377	
Dental Pulp Diseases	D003788	C07.793.237	D003784|D003790|D003809|D019553|D003789|D011671
Dental Pulp Exposure	D003789	C07.793.237.283	
Dental Pulp Necrosis	D003790	C07.793.237.315|C23.550.717.182	
Dental Pulp Test	D003791	E06.342.377	
Dental Records	D003792	E05.318.308.940.375|L01.280.900.375|N04.452.859.341|N05.715.360.300.715.330|N06.850.520.308.940.375	
Dental Restoration, Permanent	D003793	E06.323.428|E06.780.346.737|E07.695.190.190	D007284|D019554|D058250
Dental Restoration, Temporary	D003794	E06.323.528|E06.780.346.740|E07.695.190.192	
Dental Sac	D003795	A14.549.167.900.720.255	
Dental Service, Hospital	D003796	N02.278.216.500.968.298|N02.421.240.200|N04.452.442.422.298	
Dental Staff	D003797	M01.526.485.290|N02.360.290	D003798
Dental Staff, Hospital	D003798	M01.526.485.290.490|M01.526.485.740.322|N02.360.290.490|N02.360.740.322	
Dental Stress Analysis	D003799	E06.308	
Dental Technicians	D003800	M01.526.485.067.105.503|N02.360.067.105.503	
Dental Veneers	D003801	E06.780.346.750|E07.695.190.196	
Dentifrices	D003802	D25.376|D27.720.269.380|J01.637.051.376	D003820|D014100
Dentigerous Cyst	D003803	C04.182.089.530.690.310|C05.500.470.690.310|C07.320.450.670.275	
Dentin	D003804	A14.549.167.900.280	D003809
Dentin Dysplasia	D003805	C07.650.800.260|C07.793.700.260|C16.131.850.800.260	
Dentin Permeability	D003806	G10.549.845.461	
Dentin Sensitivity	D003807	C07.793.266	
Dentin Solubility	D003808	G10.549.245	
Dentin, Secondary	D003809	A14.549.167.900.280.280|C07.793.237.378	
Dentinogenesis	D003810	G07.345.500.325.377.186	
Dentinogenesis Imperfecta	D003811	C07.650.800.270|C07.793.700.270|C16.131.850.800.270	
Dentist-Patient Relations	D003812	F01.829.401.650.410|N05.300.660.325	
Dentistry	D003813	E06|H02.163	D009065|D057087|D003775|D011313|D003799|D003772|D004570|D003945|D004955|D019552|D011476|D019647|D009782|D005792|D003814|D009970|D019242|D003729|D019246|D010339|D003748|D007574|D013039|D003766|D003765|D010517|D000766|D014089|D004708|D005850|D008885|D005553|D017005|D009811|D055094|D012571|D013674|D013515|D018865|D020247|D003755|D003753|D020906|D001840
Dentistry, Operative	D003814	E06.323|H02.163.180	D003793|D018772|D003794|D016556|D003736|D019232
Dentists	D003815	M01.526.485.330|N02.360.330	D000066794|D003816|D000066792|D000072218
Dentists, Women	D003816	M01.526.485.330.310|M01.975.310|N02.360.330.310	
Dentition	D003817	A03.556.500.379|A14.549.167	D019229|D019589|D014070|D003818|D010519
Dentition, Mixed	D003818	A14.549.167.229	
Denture Bases	D003819	E06.780.346.760.281|E07.695.190.200.200	
Denture Cleansers	D003820	D25.376.262|J01.637.051.376.262	
Denture Identification Marking	D003821	E06.912.275	
Denture Liners	D003822	E06.780.346.760.357|E07.695.190.200.210	
Denture Rebasing	D003823	E06.780.346.760.471|E06.912.280	
Denture, Complete	D003824	E06.780.346.760.290|E07.695.190.200.205	D003825|D003826|D003827
Denture, Complete, Immediate	D003825	E06.780.346.760.290.254|E07.695.190.200.205.205	
Denture, Complete, Lower	D003826	E06.780.346.760.290.379|E07.695.190.200.205.210	
Denture, Complete, Upper	D003827	E06.780.346.760.290.504|E07.695.190.200.205.215	
Denture, Overlay	D003828	E06.780.346.760.395|E07.695.190.200.215	
Denture, Partial	D003829	E06.780.346.760.433|E07.695.190.200.220	D003833|D003832|D003831|D003830|D003834
Denture, Partial, Fixed	D003830	E06.780.346.760.433.271|E07.695.190.200.220.220	D016379
Denture, Partial, Immediate	D003831	E06.780.346.760.433.342|E07.695.190.200.220.225	
Denture, Partial, Removable	D003832	E06.780.346.760.433.413|E07.695.190.200.220.230	
Denture, Partial, Temporary	D003833	E06.780.346.760.433.484|E07.695.190.200.220.235	
Denture Precision Attachment	D003834	E06.780.346.760.433.555|E07.695.190.200.220.245	
Denturists	D003835	M01.526.485.067.105.751|N02.360.067.105.751	
Deodorants	D003836	D27.720.269.385	
Deoxy Sugars	D003837	D09.254	D003847|D003855|D005643|D012210
Deoxyadenine Nucleotides	D003838	D03.633.100.759.646.138.410|D13.695.201.100|D13.695.667.138.410	
Deoxyadenosines	D003839	D03.633.100.759.590.138.325|D13.570.230.229|D13.570.583.138.325	D016048|D017338|D011692
Deoxycholic Acid	D003840	D04.210.500.105.225.272|D04.210.500.221.430.342	D013657|D006002|D014580|D002635
Deoxycytidine	D003841	D03.383.742.680.245.500|D13.570.230.329|D13.570.685.245.500	D000068679|D016047|D000069287|D001972
Deoxycytidine Kinase	D003842	D08.811.913.696.620.175	
Deoxycytidine Monophosphate	D003843	D03.383.742.686.246.425.300|D13.695.201.150.200|D13.695.740.246.425.300	
DCMP Deaminase	D003844	D08.811.277.151.653.200	
Deoxycytosine Nucleotides	D003845	D03.383.742.686.246.425|D13.695.201.150|D13.695.740.246.425	D003843
Deoxyepinephrine	D003846	D02.092.311.342.300|D02.092.311.461.200	
Deoxyglucose	D003847	D09.254.229	D019788
Deoxyguanine Nucleotides	D003848	D03.633.100.759.646.454.200|D13.695.201.175|D13.695.667.454.200	
Deoxyguanosine	D003849	D03.633.100.759.590.454.240|D13.570.230.360|D13.570.583.454.240	
Deoxyribonuclease I	D003850	D08.811.277.352.335.350.250	D013299
Deoxyribonucleases	D003851	D08.811.277.352.335	D004706|D005090
Deoxyribonucleoproteins	D003852	D12.776.664.275	
Deoxyribonucleosides	D003853	D13.570.230	D015224|D003841|D003839|D013936|D003849|D015649|D003857
Deoxyribonucleotides	D003854	D13.695.201	D003845|D003838|D013942|D009702|D003848|D003856
Deoxyribose	D003855	D09.254.330	
